GM_PONTO;CD_GEOCODIGO;TIPO;CD_GEOCODSD;NM_SUBDISTRITO;CD_GEOCODDS;NM_DISTRITO;CD_GEOCODMU;NM_MUNICIPIO;NM_MICRO;NM_MESO;NM_UF;CD_NIVEL;CD_CATEGORIA;NM_CATEGORIA;NM_LOCALIDADE;LONG;LAT;ALT
;430090125000001;URBANO;43009012500;;430090125;TRÊS BARRAS;4300901;ARATIBA;ERECHIM;NOROESTE RIO-GRANDENSE;RIO GRANDE DO SUL;2;25;VILA;TRÊS BARRAS;-52,26203037;-27,32957152;460,022891
;430090130000001;URBANO;43009013000;;430090130;VOLTA FECHADA;4300901;ARATIBA;ERECHIM;NOROESTE RIO-GRANDENSE;RIO GRANDE DO SUL;2;30;VILA;VOLTA FECHADA;-52,28342446;-27,29532375;404,28258
;430100805000001;URBANO;43010080500;;430100805;ARROIO DO MEIO;4301008;ARROIO DO MEIO;LAJEADO-ESTRELA;CENTRO ORIENTAL RIO-GRANDENSE;RIO GRANDE DO SUL;1;05;CIDADE;ARROIO DO MEIO;-51,94744949;-29,39889072;40,290725
;430100816000001;URBANO;43010081600;;430100816;FORQUETA;4301008;ARROIO DO MEIO;LAJEADO-ESTRELA;CENTRO ORIENTAL RIO-GRANDENSE;RIO GRANDE DO SUL;2;16;VILA;FORQUETA;-52,03578325;-29,37745352;40,502953
;430100818000001;URBANO;43010081800;;430100818;PALMAS;4301008;ARROIO DO MEIO;LAJEADO-ESTRELA;CENTRO ORIENTAL RIO-GRANDENSE;RIO GRANDE DO SUL;2;18;VILA;PALMAS;-51,91875877;-29,3225243;38,036209
;430100830000001;URBANO;43010083000;;430100830;VALE DO ARROIO GRANDE;4301008;ARROIO DO MEIO;LAJEADO-ESTRELA;CENTRO ORIENTAL RIO-GRANDENSE;RIO GRANDE DO SUL;2;30;VILA;VALE DO ARROIO GRANDE;-51,98073165;-29,32997393;110,839965
;430105705000001;URBANO;43010570500;;430105705;ARROIO DO SAL;4301057;ARROIO DO SAL;OSÓRIO;METROPOLITANA DE PORTO ALEGRE;RIO GRANDE DO SUL;1;05;CIDADE;ARROIO DO SAL;-49,93295752;-29,59296074;11,901148
;430107305000001;URBANO;43010730500;;430107305;ARROIO DO PADRE;4301073;ARROIO DO PADRE;PELOTAS;SUDESTE RIO-GRANDENSE;RIO GRANDE DO SUL;1;05;CIDADE;ARROIO DO PADRE;-52,4333015;-31,44064399;245,647265
;430107305000002;URBANO;43010730500;;430107305;ARROIO DO PADRE;4301073;ARROIO DO PADRE;PELOTAS;SUDESTE RIO-GRANDENSE;RIO GRANDE DO SUL;6;001;AUI;BAIRRO BEIJAMIN CONSTANT;-52,39433101;-31,46423965;199,985663
;430107305000003;URBANO;43010730500;;430107305;ARROIO DO PADRE;4301073;ARROIO DO PADRE;PELOTAS;SUDESTE RIO-GRANDENSE;RIO GRANDE DO SUL;6;002;AUI;BAIRRO BRASIL PARA CRISTO;-52,45465254;-31,44378908;266,017089
